chrom	start	end	strand	gene_id	IC_score	IR_score	intra_smc1a	intra_rad21	intra_ctcf	RNA-seq(fpkm)
chr1	3365731	3368549	-1	ENSMUSG00000103377	1.0983394565732412	0.1308379156780716	1.1885910168491076	1.027931176734106	0.9119517417390606	0.0198781722838766
chr1	3375556	3377788	-1	ENSMUSG00000104017	1.0401548232839195	0.188556890814535	1.568845316260305	0.7522311850607822	0.8170340562299374	0.0250947459329369
chr1	3464977	3467285	-1	ENSMUSG00000103025	0.9631677018033906	0.0783161283624027	1.172914522540218	1.0029029607953603	0.9152426387682118	0.0080895867862347
chr1	3512451	3514507	-1	ENSMUSG00000103201	1.1577571242359523	0.17495560738827	1.228830468098013	1.185894944788417	0.8779620656142091	0.0363225199599729
chr1	3592892	3595903	-1	ENSMUSG00000103161	0.904114435907996	0.3135950624329115	0.9369799650930876	0.729870475994436	0.6149784190161448	0.0062014793789561
chr1	3752010	3754360	1	ENSMUSG00000102592	1.0839743782183489	0.172201025993266	1.1552548113021446	1.0603829841664496	0.7378297938311353	0.0
chr1	4496551	4499378	1	ENSMUSG00000104238	0.8546943167196315	0.6867797371562733	2.786627000450118	1.764743560662234	1.4657127756426434	0.0
chr1	4522905	4526737	1	ENSMUSG00000102269	0.980597508619238	0.3613981525248426	1.08977572521922	0.8785334174173237	0.465801152359842	0.124900407150893
chr1	4583129	4586252	-1	ENSMUSG00000104328	1.1076844580068903	0.2513813612325963	1.3394859956313203	1.2229907144310763	1.0218796154607614	0.0
chr1	4938576	4940710	-1	ENSMUSG00000102653	1.1788255667616556	0.7332387404566965	1.9764156356635447	1.911452699400268	0.756204320793411	0.0
chr1	5307739	5310017	1	ENSMUSG00000104046	1.15606835533026	0.4583203353255961	0.2720124527903583	0.1235820871235719	0.0790166824768257	0.139333282193977
chr1	5403547	5405578	1	ENSMUSG00000102907	0.9576624746936272	0.2878022302494208	1.065728999076366	0.9772329063676132	1.0071442677052018	0.0
